flight_date,flight_status,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.delay,arrival.scheduled,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft,live
"2020-09-25","scheduled","Donegal","Europe/Dublin","CFN","EIDL",null,null,null,"2020-09-25T12:05:00+00:00","2020-09-25T12:05:00+00:00",null,null,null,"Glasgow International","Europe/London","GLA","EGPF","M",null,null,null,"2020-09-25T13:05:00+00:00","2020-09-25T13:05:00+00:00",null,null,null,"Loganair","LM","LOG","204","LM204","LOG204",null,null,null
"2020-09-25","scheduled","Donegal","Europe/Dublin","CFN","EIDL",null,null,null,"2020-09-25T12:05:00+00:00","2020-09-25T12:05:00+00:00",null,null,null,"Glasgow International","Europe/London","GLA","EGPF","M",null,null,null,"2020-09-25T13:05:00+00:00","2020-09-25T13:05:00+00:00",null,null,null,"British Airways","BA","BAW","4086","BA4086","BAW4086","loganair","lm","log","204","lm204","log204",null,null
"2020-09-25","scheduled","Leger","Africa/Algiers","CBH","DAOC",null,null,null,"2020-09-25T10:05:00+00:00","2020-09-25T10:05:00+00:00",null,null,null,"Houari Boumediene","Africa/Algiers","ALG","DAAG","D",null,null,null,"2020-09-25T12:05:00+00:00","2020-09-25T12:05:00+00:00",null,null,null,"Air Algerie","AH","DAH","6135","AH6135","DAH6135",null,null,null
"2020-09-25","scheduled","Oued Irara Airport","Africa/Algiers","HME","DAUH",null,null,null,"2020-09-25T09:30:00+00:00","2020-09-25T09:30:00+00:00",null,null,null,"Houari Boumediene","Africa/Algiers","ALG","DAAG","D",null,null,null,"2020-09-25T11:10:00+00:00","2020-09-25T11:10:00+00:00",null,null,null,"Air Algerie","AH","DAH","6227","AH6227","DAH6227",null,null,null
"2020-09-25","scheduled","Houari Boumediene","Africa/Algiers","ALG","DAAG","D",null,null,"2020-09-25T12:05:00+00:00","2020-09-25T12:05:00+00:00",null,null,null,"Ain El Bey","Africa/Algiers","CZL","DABC",null,null,null,null,"2020-09-25T13:10:00+00:00","2020-09-25T13:10:00+00:00",null,null,null,"Air Algerie","AH","DAH","6022","AH6022","DAH6022",null,null,null
"2020-09-25","scheduled","Houari Boumediene","Africa/Algiers","ALG","DAAG","D",null,null,"2020-09-25T11:50:00+00:00","2020-09-25T11:50:00+00:00",null,null,null,"Batna","Africa/Algiers","BLJ","DABT",null,null,null,null,"2020-09-25T13:05:00+00:00","2020-09-25T13:05:00+00:00",null,null,null,"Air Algerie","AH","DAH","6038","AH6038","DAH6038",null,null,null
"2020-09-25","scheduled","Houari Boumediene","Africa/Algiers","ALG","DAAG","D",null,null,"2020-09-25T11:30:00+00:00","2020-09-25T11:30:00+00:00",null,null,null,"Es Senia","Africa/Algiers","ORN","DAOO",null,null,null,null,"2020-09-25T12:45:00+00:00","2020-09-25T12:45:00+00:00",null,null,null,"Air Algerie","AH","DAH","6182","AH6182","DAH6182",null,null,null
"2020-09-25","scheduled","Houari Boumediene","Africa/Algiers","ALG","DAAG","D",null,null,"2020-09-25T11:10:00+00:00","2020-09-25T11:10:00+00:00",null,null,null,"Ain El Bey","Africa/Algiers","CZL","DABC",null,null,null,null,"2020-09-25T12:15:00+00:00","2020-09-25T12:15:00+00:00",null,null,null,"Air Algerie","AH","DAH","6192","AH6192","DAH6192",null,null,null
"2020-09-25","scheduled","Houari Boumediene","Africa/Algiers","ALG","DAAG","D",null,null,"2020-09-25T11:10:00+00:00","2020-09-25T11:10:00+00:00",null,null,null,"Les Salines","Africa/Algiers","AAE","DABB",null,null,null,null,"2020-09-25T12:25:00+00:00","2020-09-25T12:25:00+00:00",null,null,null,"Air Algerie","AH","DAH","6172","AH6172","DAH6172",null,null,null
"2020-09-25","scheduled","John C. Munroe","America/Toronto","YHM","CYHM",null,null,10,"2020-09-25T01:30:00+00:00","2020-09-25T01:30:00+00:00",null,null,null,"Halifax International","America/Halifax","YHZ","CYHZ",null,null,null,null,"2020-09-25T04:22:00+00:00","2020-09-25T04:22:00+00:00",null,null,null,"Cargojet","W8","CJT","622","W8622","CJT622",null,null,null
